date,open,high,low,close,volume,amount,turn,pctChg
2010-01-04,4.3870068000,4.4010340000,4.2747892000,4.3308980000,18221504,224554936.4500,1.751719,-0.643600
2010-01-05,4.3344048000,4.4536360000,4.2782960000,4.4290884000,22949027,286705642.9400,2.206198,2.267200
2010-01-06,4.4220748000,4.5272788000,4.3764864000,4.4501292000,25115680,320199891.8500,2.414489,0.475100
2010-01-07,4.4466224000,4.5272788000,4.3484320000,4.3729796000,20972833,266586446.8100,2.016217,-1.733600
2010-01-08,4.4501292000,4.6850848000,4.4431156000,4.6850848000,60270030,786685709.3100,5.794042,7.137100
2010-01-11,4.7411936000,4.8709452000,4.6254692000,4.6605372000,52548564,712296628.2000,5.051741,-0.524000
2010-01-12,4.6605372000,4.6605372000,4.6605372000,4.6605372000,0,0.0000,,0.000000
2010-01-13,4.6430032000,4.8218500000,4.5588400000,4.6710576000,39249610,527188907.5100,3.773250,0.225700
2010-01-14,4.6710576000,4.8569180000,4.5728672000,4.8008092000,38740879,519940911.6600,3.724343,2.777800
2010-01-15,4.8008092000,4.8919860000,4.6991120000,4.8744520000,39486223,544320941.7100,3.795997,1.534000
2010-01-18,4.8919860000,4.9025064000,4.7727548000,4.8499044000,26689927,368637568.1500,2.565828,-0.503600
2010-01-19,4.8569180000,4.8884792000,4.8008092000,4.8534112000,29552219,408987915.0700,2.840994,0.072300
2010-01-20,4.8674384000,4.8779588000,4.5588400000,4.6044284000,35391597,473237409.3700,3.402361,-5.130100
2010-01-21,4.6114420000,4.6605372000,4.4922108000,4.5939080000,17554218,229349872.4600,1.687570,-0.228500
2010-01-22,4.5167584000,4.5798808000,4.4290884000,4.4992244000,17364419,222761587.7800,1.669323,-2.061100
2010-01-25,4.5237720000,4.5413060000,4.3484320000,4.4010340000,12787002,162577267.8200,1.229275,-2.182400
2010-01-26,4.4010340000,4.4606496000,4.2432280000,4.3133640000,15740967,195603070.7900,1.513253,-1.992000
2010-01-27,4.3133640000,4.3414184000,4.2151736000,4.2572552000,13067750,159445780.0600,1.256264,-1.300800
2010-01-28,4.2642688000,4.3203776000,4.2151736000,4.3203776000,21132380,256577527.5500,2.031555,1.482700
2010-01-29,4.2502416000,4.3694728000,4.2502416000,4.2782960000,14025927,172620372.3400,1.348378,-0.974000
2010-02-01,4.2818028000,4.3133640000,4.1450376000,4.1485444000,13713293,164169547.0300,1.318323,-3.032800
2010-02-02,4.1801056000,4.2782960000,4.0854220000,4.0854220000,14389262,171393021.5900,1.383308,-1.521600
2010-02-03,4.1204900000,4.1555580000,3.8960548000,4.0959424000,22679672,260588989.2200,2.180304,0.257500
2010-02-04,4.0678880000,4.2292008000,4.0258064000,4.1450376000,19208766,227847493.3600,1.846629,1.198600
2010-02-05,4.0398336000,4.1730920000,4.0047656000,4.1064628000,10436037,122100579.7300,1.003265,-0.930600
2010-02-08,4.0503540000,4.1310104000,4.0503540000,4.0749016000,8339320,96976580.6300,0.801698,-0.768600
2010-02-09,4.0678880000,4.0994492000,4.0328200000,4.0994492000,7142165,83020271.6700,0.686610,0.602400
2010-02-10,4.1239968000,4.2256940000,4.1204900000,4.2116668000,9315037,110811867.8000,0.895498,2.737400
2010-02-11,4.2186804000,4.2642688000,4.1730920000,4.2221872000,8595466,103612771.4100,0.826323,0.249800
2010-02-12,4.2537484000,4.2818028000,4.2011464000,4.2537484000,6853784,83027945.4500,0.658887,0.747500
2010-02-22,4.2397212000,4.3589524000,4.2081600000,4.2853096000,11369650,139184384.6000,1.093018,0.742000
2010-02-23,4.2607620000,4.2818028000,4.1906260000,4.2502416000,9460235,114100741.7300,0.909457,-0.818300
2010-02-24,4.2432280000,4.3168708000,4.2151736000,4.3028436000,9421755,115027627.1700,0.905758,1.237600
2010-02-25,4.3028436000,4.3028436000,4.3028436000,4.3028436000,0,0.0000,,0.000000
2010-02-26,4.3379116000,4.3975272000,4.2888164000,4.2923232000,15307454,189229629.7200,1.471578,-0.244500
2010-03-01,4.2782960000,4.3308980000,4.2467348000,4.2993368000,16142946,197835123.0700,1.551897,0.163400
2010-03-02,4.3063504000,4.3449252000,4.2081600000,4.2362144000,15025354,182680844.7800,1.444458,-1.468200
2010-03-03,4.2362144000,4.2923232000,4.1555580000,4.2888164000,17255391,207572831.6800,1.658842,1.241700
2010-03-04,4.2923232000,4.3028436000,4.1765988000,4.1906260000,13766780,166840132.9900,1.323465,-2.289500
2010-03-05,4.2081600000,4.2677756000,4.1871192000,4.2116668000,7640676,91980030.0300,0.734534,0.502100
2010-03-08,4.2151736000,4.2853096000,4.2081600000,4.2818028000,10119642,122697374.2800,0.972849,1.665300
2010-03-09,4.2958300000,4.3308980000,4.2432280000,4.3133640000,13371789,163918691.7200,1.285493,0.737100
2010-03-10,4.3203776000,4.3554456000,4.2642688000,4.2782960000,9760939,119960679.6600,0.938365,-0.813000
2010-03-11,4.2888164000,4.3308980000,4.2607620000,4.2958300000,9358030,114612319.8900,0.899631,0.409800
2010-03-12,4.3484320000,4.3484320000,4.2081600000,4.2151736000,8925956,108631028.7900,0.858094,-1.877600
2010-03-15,4.2081600000,4.2081600000,4.0363268000,4.0538608000,12978784,151679577.2500,1.247712,-3.827000
2010-03-16,4.0538608000,4.0854220000,3.9591772000,4.0258064000,10101455,115867710.5700,0.971100,-0.692000
2010-03-17,4.0363268000,4.1134764000,4.0363268000,4.1134764000,8302970,96603755.7700,0.798204,2.177700
2010-03-18,4.1380240000,4.1555580000,4.0749016000,4.1029560000,7872979,92610209.4100,0.756867,-0.255800
2010-03-19,4.1310104000,4.1730920000,4.0924356000,4.1625716000,7872202,92870613.5800,0.756792,1.453000
2010-03-22,4.1976396000,4.2046532000,4.1239968000,4.1590648000,8992874,106477452.8400,0.864527,-0.084200
2010-03-23,4.2046532000,4.2327076000,4.1695852000,4.1976396000,15916725,190637942.7100,1.530150,0.927500
2010-03-24,4.2081600000,4.2256940000,4.1660784000,4.1730920000,11888390,141982827.2300,1.142887,-0.584800
2010-03-25,4.1730920000,4.1801056000,4.0608744000,4.0889288000,12090897,141404055.9700,1.162355,-2.016800
2010-03-26,4.0854220000,4.1415308000,4.0503540000,4.1204900000,7306482,85522824.6100,0.702407,0.771900
2010-03-29,4.1450376000,4.2502416000,4.1450376000,4.2362144000,14888615,179082772.8900,1.431313,2.808500
2010-03-30,4.2432280000,4.2432280000,4.2081600000,4.2256940000,7964165,95956042.7800,0.765633,-0.248300
2010-03-31,4.2397212000,4.2397212000,4.1730920000,4.1871192000,9150679,109717828.5700,0.879698,-0.912900
2010-04-01,4.1765988000,4.2432280000,4.1765988000,4.2256940000,11156885,134250969.4000,1.072564,0.921300
2010-04-02,4.2327076000,4.3028436000,4.2011464000,4.2888164000,16363306,197931606.0800,1.573082,1.493800
2010-04-06,4.2958300000,4.3203776000,4.2467348000,4.2607620000,11371070,138747943.8400,1.093155,-0.654100
2010-04-07,4.2572552000,4.2607620000,4.2046532000,4.2256940000,9761941,117571326.1700,0.938461,-0.823000
