date,open,high,low,close,volume,amount,turn,pctChg
2026-01-05,1.1870,1.1910,1.1840,1.1900,10258900,12184964.3000,2.540308,0.591700
2026-01-06,1.1920,1.2110,1.1920,1.2100,13207200,15814691.3000,3.294842,1.680700
2026-01-07,1.2060,1.2100,1.2020,1.2040,6642400,8012803.7000,1.686553,-0.495900
2026-01-08,1.2000,1.2070,1.1960,1.2020,17912124,21529018.4280,4.618375,-0.166100
2026-01-09,1.2000,1.2130,1.2000,1.2120,7726320,9332051.8200,2.039442,0.831900
2026-01-12,1.2150,1.2180,1.2110,1.2170,8373200,10174757.3000,2.239753,0.412500
2026-01-13,1.2210,1.2330,1.2180,1.2250,9443700,11554704.9000,2.553423,0.657400
2026-01-14,1.2240,1.2380,1.2150,1.2210,23630500,28896340.8000,6.476864,-0.326500
2026-01-15,1.2150,1.2310,1.2150,1.2220,11137802,13627521.7400,3.201946,0.081900
2026-01-16,1.2260,1.2340,1.2100,1.2230,27724800,33884430.7000,8.134143,0.081800
2026-01-19,1.2170,1.2350,1.2160,1.2350,6625000,8131356.3000,2.045733,0.981200
2026-01-20,1.2350,1.2450,1.2280,1.2450,7846000,9701822.4000,2.430270,0.809700
2026-01-21,1.2450,1.2540,1.2400,1.2520,8785200,10957193.1000,2.729639,0.562200
2026-01-22,1.2530,1.2680,1.2530,1.2660,6805302,8599626.4280,2.121058,1.118200
2026-01-23,1.2680,1.2790,1.2680,1.2720,10139200,12926974.3000,3.160158,0.473900
2026-01-26,1.3840,1.3840,1.2740,1.2880,7769800,10004978.7000,2.421670,1.257900
2026-01-27,1.2830,1.2910,1.2710,1.2780,9238800,11834191.5000,2.870577,-0.776400
2026-01-28,1.2770,1.3140,1.2760,1.3080,4050700,5277067.3000,1.243138,2.347400
2026-01-29,1.3100,1.3200,1.2960,1.3170,6251200,8173831.2000,1.918460,0.688100
2026-01-30,1.3170,1.3180,1.2690,1.2900,4707800,6060041.8000,1.440378,-2.050100
2026-02-02,1.2700,1.2710,1.2290,1.2380,4567770,5701026.3870,1.397535,-4.031000
2026-02-03,1.2380,1.2580,1.2370,1.2580,5189000,6460012.4000,1.587604,1.615500
2026-02-04,1.2590,1.2810,1.2590,1.2810,9837000,12488065.1000,3.009686,1.828300
2026-02-05,1.2750,1.2780,1.2550,1.2630,6142800,7773824.3000,1.902710,-1.405200
2026-02-06,1.2670,1.2870,1.2440,1.2600,5011700,6312024.4000,1.552356,-0.237500
2026-02-09,1.2700,1.2770,1.2660,1.2760,3936700,5013584.1000,1.219379,1.269800
2026-02-10,1.2780,1.2790,1.2730,1.2790,4453200,5688187.4000,1.379363,0.235100
2026-02-11,1.2790,1.2910,1.2790,1.2860,3689200,4730806.5000,1.142716,0.547300
2026-02-12,1.2860,1.2990,1.2830,1.2910,8162506,10546786.0520,2.544067,0.388800
2026-02-13,1.2940,1.2940,1.2680,1.2690,6439100,8217275.4000,2.013195,-1.704100
2026-02-24,1.2750,1.3110,1.2580,1.3100,5985500,7820355.8000,1.871377,3.230900
2026-02-25,1.3110,1.3330,1.3110,1.3180,7410327,9806123.6850,2.316851,0.610700
2026-02-26,1.3110,1.3230,1.3110,1.3210,8900102,11725237.8420,2.791359,0.227600
2026-02-27,1.3260,1.3340,1.3170,1.3290,8698800,11509359.7000,2.745445,0.605600
2026-03-02,1.3360,1.3570,1.3300,1.3570,8209006,11016130.5000,2.599064,2.106800
2026-03-03,1.3570,1.3680,1.3430,1.3490,10504700,14221514.7000,3.325906,-0.589500
2026-03-04,1.3520,1.3520,1.3210,1.3330,2872000,3817948.9000,0.909307,-1.186100
2026-03-05,1.3400,1.3580,1.3380,1.3470,6237499,8408812.7600,1.974862,1.050300
2026-03-06,1.3400,1.3530,1.3330,1.3520,4307300,5771785.4000,1.363740,0.371200
2026-03-09,1.3550,1.3630,1.3460,1.3540,7095000,9621388.2000,2.246357,0.147900
2026-03-10,1.3520,1.3530,1.3380,1.3520,5092800,6854318.3000,1.607349,-0.147700
2026-03-11,1.3520,1.3670,1.3450,1.3600,13174900,17870420.1000,4.158156,0.591700
2026-03-12,1.3600,1.3760,1.3590,1.3700,7812500,10651102.6000,2.434978,0.735300
2026-03-13,1.3690,1.3810,1.3550,1.3570,11625200,15920805.7000,3.612052,-0.948900
2026-03-16,1.3630,1.3630,1.3330,1.3370,8608500,11586385.8000,2.633819,-1.473800
2026-03-17,1.3530,1.3540,1.3250,1.3290,10593200,14165021.0000,3.221338,-0.598400
2026-03-18,1.3340,1.3340,1.3020,1.3200,7786701,10210641.4040,2.325466,-0.677200
2026-03-19,1.3150,1.3150,1.2880,1.2920,11541209,14983705.0990,3.446734,-2.121200
2026-03-20,1.2890,1.3000,1.2780,1.2880,10502800,13567812.1000,3.146013,-0.309600
2026-03-23,1.2810,1.2810,1.2330,1.2390,16617604,20731785.8080,5.022780,-3.804300
2026-03-24,1.2450,1.2700,1.2370,1.2700,15476163,19316406.1350,4.677772,2.502000
2026-03-25,1.2640,1.2810,1.2640,1.2810,9698502,12348854.5460,3.013410,0.866100
2026-03-26,1.2870,1.2870,1.2680,1.2710,8825904,11285818.7800,2.759434,-0.780600
2026-03-27,1.2710,1.2780,1.2560,1.2750,12618500,16023379.1000,3.945195,0.314700
2026-03-30,1.2690,1.2810,1.2630,1.2800,8181400,10433132.1000,2.582148,0.392200
2026-03-31,1.2810,1.2890,1.2700,1.2710,12468900,15946765.9000,3.960333,-0.703100
2026-04-01,1.2770,1.2830,1.2760,1.2770,7704700,9862551.2000,2.478633,0.472100
2026-04-02,1.2770,1.2810,1.2680,1.2730,10364100,13220417.2000,3.334172,-0.313200
