date,open,high,low,close,volume,amount,turn,pctChg
2014-01-28,7.7698007800,9.3291691500,7.7698007800,9.3291691500,1906592,19483820.0000,5.674381,44.150430
2014-01-29,10.2665929100,10.2665929100,10.2665929100,10.2665929100,3972584,45247731.0000,11.823167,10.048300
2014-01-30,9.5545114000,10.0953328000,9.2390322500,9.5094429500,18364936,193125043.0000,54.657548,-7.374900
2014-02-07,9.3652239100,10.3837708800,9.3021280800,10.0863191100,13941198,153130711.0000,41.491661,6.066400
2014-02-10,10.0863191100,11.0417702500,10.0142095900,10.7713595500,12724456,148171376.0000,37.870405,6.791800
2014-02-11,10.6992500300,11.8530023500,10.6361542000,11.8530023500,11960273,149109645.0000,35.596051,10.041800
2014-02-12,12.3397416100,13.0428094300,12.0783446000,13.0428094300,13500264,191459442.0000,40.179357,10.038000
2014-02-13,13.3853296500,14.3497944800,13.2320969200,14.3497944800,18810080,288086912.0000,55.982381,10.020700
2014-02-14,14.3137397200,15.7829711900,13.9261510500,15.7829711900,13412909,225917443.0000,39.919372,9.987400
2014-02-17,17.3062848000,17.3603669400,16.4950527000,17.3603669400,8807482,167705716.0000,26.212744,9.994300
2014-02-18,17.3603669400,17.3603669400,17.3603669400,17.3603669400,0,0.0000,,0.000000
2014-02-19,17.3603669400,17.3603669400,17.3603669400,17.3603669400,0,0.0000,,0.000000
2014-02-20,18.0724484500,19.1000091100,18.0273800000,19.1000091100,9653587,202399300.0000,28.730914,10.020800
2014-02-21,20.3078435700,20.9388018700,19.1991597000,19.7399811000,18015319,399416864.0000,53.617021,3.350600
2014-02-24,18.9287490000,21.7139792100,18.0273800000,21.7139792100,16175383,355363728.0000,48.141021,10.000000
2014-02-25,21.0109113900,23.8862785000,20.7314870000,23.8862785000,18448828,469943408.0000,54.907226,10.004200
2014-02-26,23.4355940000,26.2749063500,22.5522523800,26.2749063500,15889393,444755360.0000,47.289860,10.000000
2014-02-27,27.0410700000,28.9069038300,26.1397010000,28.9069038300,13743985,427073488.0000,40.904717,10.017200
2014-02-28,29.7451770000,31.8002983200,29.2944925000,31.8002983200,9705515,333973600.0000,28.885461,10.009400
2014-03-03,33.2605161000,34.9821308900,33.2424887200,34.9821308900,3478995,134023659.0000,10.354152,10.005700
2014-03-04,34.9821308900,34.9821308900,34.9821308900,34.9821308900,0,0.0000,,0.000000
2014-03-05,34.9821308900,34.9821308900,34.9821308900,34.9821308900,0,0.0000,,0.000000
2014-03-06,34.9821308900,34.9821308900,34.9821308900,34.9821308900,0,0.0000,,0.000000
2014-03-07,34.9821308900,34.9821308900,34.9821308900,34.9821308900,0,0.0000,,0.000000
2014-03-10,31.4848191700,36.9921837600,31.4848191700,31.4848191700,16295733,589563264.0000,48.499205,-9.997400
2014-03-11,29.8443275900,30.8178061100,28.3390413600,28.3390413600,10373745,334323632.0000,30.874241,-9.991400
2014-03-12,27.8162473400,31.0882168100,25.6800028100,30.3040257800,21712175,668489856.0000,64.619568,6.933800
2014-03-13,28.1317264900,28.5463562300,27.2754259400,27.2754259400,9727573,300755200.0000,28.951110,-9.994000
2014-03-14,25.6709891200,27.0861384500,25.3645236600,25.4546605600,14114121,406465696.0000,42.006312,-6.675500
2014-03-17,25.7971807800,26.1397010000,25.3284689000,26.0225230300,10161143,290156032.0000,30.241497,2.230900
2014-03-18,25.5087427000,27.0230426200,25.5087427000,25.5628248400,13017965,378457056.0000,38.743943,-1.766500
2014-03-19,24.7876475000,27.2393711800,24.3820314500,26.5363033600,15369716,445399328.0000,45.743202,3.808200
2014-03-20,26.1397010000,26.5813718100,24.4361135900,24.4361135900,10829799,308841040.0000,32.231545,-7.914400
2014-03-21,23.9133195700,25.5087427000,23.6429088700,24.7065242900,9411921,255136310.0000,28.011670,1.106600
2014-03-24,24.4901957300,25.4186058000,23.2553202000,23.6699499400,9889048,265635905.0000,29.431690,-4.195500
2014-03-25,23.3454571000,25.1932635500,23.3003886500,24.6073737000,9702221,262070186.0000,28.875658,3.960400
2014-03-26,24.3369630000,24.4811820400,23.8682511200,24.3369630000,6605410,177113606.0000,19.658958,-1.098900
2014-03-27,24.4721683500,25.0580582000,22.7685809400,22.8947726000,9205598,243653350.0000,27.397613,-5.925900
2014-03-28,22.6964714200,25.1842498600,22.2548006100,25.0129897500,17276871,464695680.0000,51.419259,9.252000
2014-03-31,24.0485249200,24.1566892000,22.5161976200,22.5161976200,10685740,276065600.0000,31.802798,-9.982000
2014-04-01,22.0835405000,24.1386618200,21.9934036000,22.9668821200,8581074,220134183.0000,25.538911,2.001600
2014-04-02,22.7775946300,25.2653730700,22.5342250000,25.2653730700,12883227,342932672.0000,38.342938,10.007900
2014-04-03,26.1306873100,27.7892062700,26.0495641000,27.7892062700,17969334,539391168.0000,53.480161,9.989300
2014-04-04,27.7080830600,29.1142187000,26.4371527700,27.2213438000,17965246,552674128.0000,53.467994,-2.043500
2014-04-08,26.9509331000,29.9434781800,26.5903855000,29.9434781800,16653474,527301664.0000,49.563911,10.000000
2014-04-09,30.6375323100,32.9179958800,29.3846294000,30.8178061100,17221845,589640160.0000,51.255491,2.919900
2014-04-10,29.7451770000,31.9985995000,28.6905752700,29.6009579600,15814113,530536416.0000,47.065812,-3.948500
2014-04-11,28.1227128000,29.1142187000,27.3655628400,27.7621652000,10643535,331950240.0000,31.677187,-6.211900
2014-04-14,27.9424390000,28.3750961200,27.2664122500,28.1677812500,8382682,259166109.0000,24.948458,1.461000
2014-04-15,27.9334253100,28.2038360100,27.2483848700,27.8342747200,6539316,202066036.0000,19.462250,-1.184000
2014-04-16,27.9334253100,28.0145485200,26.2298379000,26.6805224000,8355925,248149044.0000,24.868824,-4.145100
2014-04-17,26.6624950200,27.0410700000,25.8692903000,26.1397010000,7117106,209342774.0000,21.181863,-2.027000
2014-04-18,25.8963313700,25.9413998200,25.2383320000,25.4997290100,5532335,156815647.0000,16.465283,-2.448300
2014-04-21,25.1031266500,27.8883568600,24.9228528500,27.1221932100,13198909,392602000.0000,39.282467,6.362700
2014-04-22,26.3380021800,27.3024670100,25.4907153200,26.2478652800,8900326,261190315.0000,26.489065,-3.223700
2014-04-23,25.9594272000,27.0050152400,25.4636742500,25.6709891200,7049312,204916185.0000,20.980095,-2.197800
2014-04-24,25.4636742500,25.4636742500,23.3454571000,23.4536213800,8558052,229286891.0000,25.470393,-8.637600
2014-04-25,23.2553202000,24.9408802300,23.1561696100,24.0214838500,8222277,220717105.0000,24.471062,2.421200
2014-04-28,22.5702797600,23.4175666200,21.6238423100,21.6869381400,6854984,171173021.0000,20.401738,-9.718600
2014-04-29,21.4525822000,23.8412100500,21.0469661500,23.3274297200,7965903,202963036.0000,23.708045,7.564400
2014-04-30,22.9849095000,24.7786338100,22.8136493900,23.9764154000,8238143,218783072.0000,24.518283,2.782100
2014-05-05,23.5167172100,25.4907153200,23.3544707900,24.8867980900,8226546,223511945.0000,24.483768,3.797000
2014-05-06,24.6073737000,25.8783039900,24.3459766900,25.5898659100,8682279,243718282.0000,25.840116,2.825100
2014-05-07,25.2924141400,28.1497538700,24.8777844000,28.1497538700,14819779,441353664.0000,44.106485,10.003500
2014-05-08,27.9334253100,30.3581079200,27.6990693700,28.7536711000,16279931,523356496.0000,48.452176,2.145400
2014-05-09,28.5824109900,29.2944925000,25.8873176800,26.2749063500,12031379,367893872.0000,35.807676,-8.620700
2014-05-12,25.9864682700,27.1672616600,25.4636742500,26.6715087100,9864968,287519776.0000,29.360024,1.509400
2014-05-13,26.1306873100,26.5813718100,24.3910451400,24.5893463200,10455454,294852032.0000,31.117423,-7.806700
2014-05-14,24.3369630000,25.3825510400,24.0124701600,24.9498939200,7077280,194549599.0000,21.063333,1.466300
2014-05-15,24.6073737000,26.9058646500,24.4811820400,26.0856188600,10653953,305584000.0000,31.708193,4.552000
2014-05-16,25.6439480500,25.9413998200,23.6879773200,24.3369630000,7284065,199826631.0000,21.678765,-6.703500
2014-05-19,24.2918945500,25.2383320000,24.0034564700,24.8237022600,4695428,128835487.0000,13.974488,2.000000
2014-05-20,24.8687707100,27.2213438000,24.8687707100,25.6259206700,7910010,228754653.0000,23.541696,3.231700
2014-05-21,25.5988796000,25.5988796000,24.6073737000,25.1932635500,4414902,122936247.0000,13.139589,-1.688400
2014-05-22,25.2383320000,25.7791534000,24.3459766900,24.4721683500,5926506,164705393.0000,17.638411,-2.862300
2014-05-23,24.4541409700,24.7876475000,24.1566892000,24.6163873900,3714425,101047306.0000,11.054836,0.589300
2014-05-26,24.6704695300,24.7425790500,23.8952921900,24.6163873900,4207106,113559243.0000,12.521149,0.000000
2014-05-27,24.5172368000,24.6344147700,24.1837302700,24.2287987200,2943204,79584962.0000,8.759536,-1.574500
2014-05-28,24.1566892000,24.7876475000,24.1566892000,24.6975106000,3772311,102808077.0000,11.227116,1.934500
2014-05-29,24.7156060600,27.1112299100,24.5890448000,26.7315461300,12442018,358697488.0000,37.029815,8.235700
2014-05-30,26.2162610000,26.3970628000,24.9958488500,25.5201740700,7493484,212848723.0000,22.302036,-4.531600
2014-06-03,25.5382542500,25.7100159600,24.8602475000,24.9325682200,4196748,116466337.0000,12.490321,-2.302500
2014-06-04,24.7788866900,25.5563344300,24.5800047100,25.0410493000,3277410,90989509.0000,9.754196,0.435100
2014-06-05,25.0410493000,25.0591294800,24.1370403000,24.5890448000,3999058,108007824.0000,11.901958,-1.805100
2014-06-06,24.5980848900,24.6704056100,24.2455213800,24.3720826400,2394008,64671026.0000,7.125024,-0.882400
2014-06-09,24.1641605700,24.9325682200,24.1099200300,24.5890448000,3262448,88985450.0000,9.709667,0.890200
2014-06-10,24.8512074100,25.7461763200,24.6794457000,25.1676105600,5036972,141246159.0000,14.990988,2.352900
2014-06-11,24.4082430000,24.6523254300,24.1008799400,24.6161650700,4343137,117212507.0000,12.926003,-2.191100
2014-06-12,24.5528844400,24.8602475000,24.2364812900,24.3178421000,3179567,85958033.0000,9.462997,-1.211900
2014-06-13,24.3630425500,24.8602475000,24.2997619200,24.5619245300,3585168,97642880.0000,10.670143,1.003700
2014-06-16,24.5890448000,25.7732965900,24.3178421000,25.3484123600,7514791,209513091.0000,22.365449,3.202100
2014-06-17,24.9958488500,25.0139290300,24.4082430000,24.5076839900,4748392,129381912.0000,14.132119,-3.316700
