date,open,high,low,close,volume,amount,turn,pctChg
2010-01-04,2.2748496600,2.3537461800,2.2354014000,2.3033400700,7169975,75042592.8300,7.180171,0.863700
2010-01-05,2.3033400700,2.3033400700,2.3033400700,2.3033400700,0,0.0000,,0.000000
2010-01-06,2.3033400700,2.3033400700,2.3033400700,2.3033400700,0,0.0000,,0.000000
2010-01-07,2.3033400700,2.3033400700,2.3033400700,2.3033400700,0,0.0000,,0.000000
2010-01-08,2.1871868600,2.1871868600,2.1871868600,2.1871868600,914100,9122718.0000,0.915400,-5.042800
2010-01-11,2.0776083600,2.1806121500,2.0776083600,2.0776083600,16679699,159110614.1800,16.703418,-5.010000
2010-01-12,2.0403516700,2.0819915000,1.9987118400,2.0556926600,10274128,95451633.9300,10.288738,-1.054900
2010-01-13,2.0491179500,2.0885662100,2.0250106800,2.0578842300,7072798,66418082.5400,7.082856,0.106600
2010-01-14,2.0666505100,2.0819915000,2.0140528300,2.0469263800,6858387,64122713.6800,6.868140,-0.532500
2010-01-15,2.0469263800,2.0710336500,2.0206275400,2.0622673700,6073538,56744553.8000,6.082175,0.749500
2010-01-18,2.0710336500,2.0819915000,2.0381601000,2.0622673700,5192508,48805153.0200,5.199892,0.000000
2010-01-19,2.0600758000,2.1652711600,2.0381601000,2.1104819100,8638472,82533627.3900,8.650756,2.337900
2010-01-20,2.0973324900,2.1258229000,2.0052865500,2.0052865500,5628536,52939323.7700,5.636540,-4.984400
2010-01-21,1.9811792800,2.0030949800,1.9154321800,1.9877539900,5729156,51012594.1400,5.737303,-0.874300
2010-01-22,1.9483057300,1.9636467200,1.8935164800,1.9110490400,3022912,26639150.8300,3.027211,-3.858900
2010-01-25,1.9044743300,1.9943287000,1.8957080500,1.9220068900,2509554,22257892.4700,2.513123,0.573400
2010-01-26,1.9526888700,1.9724130000,1.8277693800,1.8628345000,2748930,23930518.7800,2.752839,-3.078700
2010-01-27,1.8650260700,1.8891333400,1.8014705400,1.8365356600,2276897,19109739.5600,2.280135,-1.411800
2010-01-28,1.8321525200,1.8628345000,1.8146199600,1.8518766500,1763532,14802586.8300,1.766040,0.835300
2010-01-29,1.8299609500,1.8803670600,1.8190031000,1.8496850800,2068059,17480598.1500,2.071000,-0.118300
2010-02-01,1.8540682200,1.8737923500,1.7992789700,1.8321525200,1594914,13360216.6400,1.597182,-0.947900
2010-02-02,1.8540682200,1.8847502000,1.8409188000,1.8453019400,2494543,21215457.9100,2.498090,0.717700
2010-02-03,1.8365356600,1.8759839200,1.7773632700,1.8672176400,2212081,18534094.1000,2.215227,1.187600
2010-02-04,1.8694092100,1.9285816000,1.8518766500,1.8978996200,2399042,20753104.5200,2.402453,1.643200
2010-02-05,1.8803670600,1.8803670600,1.8255778100,1.8453019400,2656229,22463854.0400,2.660006,-2.771400
2010-02-08,1.8518766500,1.8978996200,1.8387272300,1.8562597900,1719080,14645258.6000,1.721525,0.593800
2010-02-09,1.8453019400,1.8672176400,1.8255778100,1.8299609500,1167086,9823079.6400,1.168746,-1.416800
2010-02-10,1.8431103700,1.8606429300,1.7992789700,1.8365356600,1183299,9857929.1400,1.184982,0.359300
2010-02-11,1.8365356600,1.8518766500,1.8211946700,1.8431103700,1477639,12397883.7700,1.479740,0.358000
2010-02-12,1.8431103700,1.8847502000,1.8431103700,1.8716007800,1414764,12042996.4800,1.416776,1.545800
2010-02-22,1.8869417700,1.9461141600,1.8803670600,1.8891333400,2709251,23535681.9500,2.713104,0.936800
2010-02-23,1.9066659000,1.9241984600,1.8672176400,1.9176237500,2099949,18177493.0300,2.102935,1.508100
2010-02-24,1.9132406100,1.9680298600,1.8869417700,1.9636467200,3635185,32235365.2500,3.640354,2.400000
2010-02-25,1.9483057300,2.0622673700,1.9483057300,2.0425432400,5018877,46450445.2000,5.026014,4.017900
2010-02-26,2.0447348100,2.0447348100,1.9987118400,2.0228191100,3232545,29773581.7900,3.237142,-0.965700
2010-03-01,2.0118612600,2.1104819100,1.9965202700,2.0885662100,4184100,38963135.8300,4.190050,3.250300
2010-03-02,2.0885662100,2.1499301700,2.0644589400,2.1039072000,4328626,41602894.1500,4.334781,0.734500
2010-03-03,2.0863746400,2.1126734800,2.0688420800,2.0819915000,2135274,20277142.4400,2.138310,-1.041700
2010-03-04,2.0732252200,2.0885662100,1.9789877100,1.9789877100,3603110,33154575.8500,3.608234,-4.947400
2010-03-05,1.9614551500,1.9943287000,1.9526888700,1.9592635800,2181549,19650621.2900,2.184651,-0.996700
2010-03-08,1.9724130000,1.9921371300,1.9526888700,1.9702214300,1577916,14219812.2400,1.580160,0.559300
2010-03-09,1.9702214300,2.0162444000,1.9680298600,2.0140528300,2102619,19125183.6800,2.105609,2.224700
