date,open,high,low,close,volume,amount,turn,pctChg
2026-01-05,1.0810,1.1110,1.0790,1.1110,7541400,8306778.0000,1.767294,3.734800
2026-01-06,1.1110,1.1270,1.1070,1.1270,19095900,21370193.0000,4.571457,1.440100
2026-01-07,1.1350,1.1550,1.1220,1.1550,17259900,19756182.0000,4.451638,2.484500
2026-01-08,1.1550,1.1730,1.1550,1.1700,5956100,6938416.0000,1.722809,1.298700
2026-01-09,1.1730,1.2070,1.1670,1.2060,6266800,7428178.0000,2.003964,3.076900
2026-01-12,1.2070,1.2490,1.2030,1.2440,1251700,1532054.0000,0.420428,3.150900
2026-01-13,1.2440,1.2560,1.2070,1.2080,3452300,4214813.0000,1.234198,-2.893900
2026-01-14,1.2090,1.2560,1.2090,1.2340,2849000,3515648.0000,1.052378,2.152300
2026-01-15,1.2220,1.2250,1.1970,1.2240,6073200,7343394.0000,2.432002,-0.810400
2026-01-16,1.2350,1.2510,1.2270,1.2470,4727300,5841902.0000,1.963815,1.879100
2026-01-19,1.2370,1.2540,1.2370,1.2460,9056500,11303217.0000,3.762252,-0.080200
2026-01-20,1.2440,1.2470,1.2110,1.2260,9926900,12187619.0000,4.175876,-1.605100
2026-01-21,1.2140,1.2480,1.2140,1.2440,7491900,9271377.0000,3.151562,1.468200
2026-01-22,1.2560,1.2570,1.2400,1.2520,7380200,9197547.0000,3.104574,0.643100
2026-01-23,1.2420,1.2860,1.2420,1.2850,10268000,13000605.0000,4.319364,2.635800
2026-01-26,1.2870,1.2870,1.2410,1.2630,6403700,8065863.0000,2.693797,-1.712100
2026-01-27,1.2520,1.2800,1.2250,1.2780,3136300,3888610.0000,1.336187,1.187600
2026-01-28,1.2660,1.2870,1.2590,1.2700,8808700,11197620.0000,3.752851,-0.626000
2026-01-29,1.2580,1.2800,1.2310,1.2320,3256100,4100441.0000,1.405186,-2.992100
2026-01-30,1.2290,1.2510,1.2080,1.2410,4062700,4965999.0000,1.753278,0.730500
2026-02-02,1.2290,1.2380,1.1920,1.1920,6934800,8401352.0000,3.072299,-3.948400
2026-02-03,1.2030,1.2430,1.2030,1.2430,7541900,9217400.0000,3.386267,4.278500
2026-02-04,1.2530,1.2530,1.2110,1.2290,8926100,10898224.0000,4.007764,-1.126300
2026-02-05,1.2190,1.2240,1.2000,1.2140,4118100,4985116.0000,1.849002,-1.220500
2026-02-06,1.2020,1.2240,1.1940,1.2070,10156400,12331950.0000,4.560161,-0.576600
2026-02-09,1.2070,1.2480,1.2070,1.2430,6077000,7500312.0000,2.728536,2.982600
2026-02-10,1.2430,1.2460,1.2350,1.2380,10877200,13482443.0000,4.883796,-0.402300
2026-02-11,1.2480,1.2480,1.2290,1.2290,7269900,8971626.0000,3.308708,-0.727000
2026-02-12,1.2410,1.2530,1.2310,1.2500,8486400,10554319.0000,3.862367,1.708700
2026-02-13,1.2470,1.2600,1.2420,1.2440,8467000,10601850.0000,3.853537,-0.480000
2026-02-24,1.2440,1.2550,1.2260,1.2400,3230500,4019883.0000,1.490632,-0.321500
2026-02-25,1.2380,1.2620,1.2300,1.2590,6301900,7847697.0000,2.907851,1.532300
2026-02-26,1.2590,1.2830,1.2460,1.2810,4573700,5762389.0000,2.081602,1.747400
2026-02-27,1.2810,1.2890,1.2660,1.2870,5659300,7233049.0000,2.575685,0.468400
2026-03-02,1.2720,1.2930,1.2650,1.2740,5056800,6457223.0000,2.301473,-1.010100
2026-03-03,1.2720,1.2740,1.1980,1.2010,13259900,16251353.0000,6.034903,-5.730000
2026-03-04,1.1910,1.2140,1.1880,1.1950,1991000,2387783.0000,0.918696,-0.499600
2026-03-05,1.2060,1.2250,1.2010,1.2080,7661000,9247126.0000,3.534973,1.087900
2026-03-06,1.2120,1.2280,1.2000,1.2200,5099400,6199820.0000,2.386017,0.993400
2026-03-09,1.2210,1.2210,1.1610,1.2030,12000500,14158775.0000,5.615052,-1.393400
2026-03-10,1.2160,1.2580,1.2160,1.2580,8349300,10376480.0000,3.906650,4.571900
2026-03-11,1.2600,1.2690,1.2400,1.2410,8617400,10799556.0000,4.089499,-1.351400
2026-03-12,1.2430,1.2440,1.2130,1.2290,7431100,9136088.0000,3.526525,-0.967000
2026-03-13,1.2410,1.2420,1.2070,1.2120,5879400,7169397.0000,2.790145,-1.383200
2026-03-16,1.2120,1.2160,1.1910,1.2160,6847800,8225939.0000,3.249712,0.330000
2026-03-17,1.2050,1.2050,1.1700,1.1700,7203300,8551243.0000,3.418419,-3.782900
2026-03-18,1.1800,1.1950,1.1700,1.1950,6741800,7955349.0000,3.245616,2.136800
2026-03-19,1.1840,1.1890,1.1650,1.1730,8316600,9801255.0000,4.003751,-1.841000
2026-03-20,1.1840,1.1930,1.1560,1.1560,6587000,7780233.0000,3.171093,-1.449300
2026-03-23,1.1450,1.1450,1.0790,1.0870,8327300,9223796.0000,4.008902,-5.968900
2026-03-24,1.0970,1.1280,1.0850,1.1280,10794300,11888530.0000,5.196558,3.771800
2026-03-25,1.1390,1.1630,1.1390,1.1530,10066500,11627427.0000,4.846183,2.216300
2026-03-26,1.1530,1.1590,1.1280,1.1320,10914600,12521454.0000,5.331472,-1.821300
2026-03-27,1.1210,1.1700,1.1210,1.1630,7051700,8156713.0000,3.495783,2.738500
2026-03-30,1.1610,1.1620,1.1420,1.1600,7476000,8605590.0000,3.706124,-0.258000
2026-03-31,1.1490,1.1630,1.1300,1.1310,7769000,8868200.0000,3.851374,-2.500000
2026-04-01,1.1480,1.1790,1.1480,1.1790,8209500,9541848.0000,4.069746,4.244000
2026-04-02,1.1740,1.1740,1.1410,1.1470,7965100,9239233.0000,3.948588,-2.714200
2026-04-03,1.1580,1.1690,1.1510,1.1580,9935600,11509208.0000,4.925436,0.959000
2026-04-07,1.1590,1.1730,1.1520,1.1590,7220200,8394956.0000,3.579314,0.086400
2026-04-08,1.1690,1.2260,1.1690,1.2230,6379300,7676692.0000,3.162450,5.522000
2026-04-09,1.2170,1.2280,1.2100,1.2160,10093800,12299378.0000,5.003862,-0.572400
2026-04-10,1.2140,1.2390,1.2140,1.2270,13264400,16332739.0000,6.575643,0.904600
2026-04-13,1.2150,1.2360,1.2150,1.2330,13302000,16343495.0000,6.693834,0.489000
2026-04-14,1.2390,1.2690,1.2390,1.2630,9098800,11445318.0000,4.578699,2.433100
2026-04-15,1.2650,1.2730,1.2500,1.2540,8690400,10980398.0000,4.373184,-0.712600
2026-04-16,1.2530,1.2790,1.2530,1.2790,9632800,12251050.0000,4.847419,1.993600
2026-04-17,1.2740,1.2950,1.2740,1.2930,10151400,13084778.0000,5.267429,1.094600
2026-04-20,1.2820,1.3020,1.2820,1.2900,8669100,11207016.0000,4.569413,-0.232000
2026-04-21,1.2840,1.3000,1.2740,1.2970,7823900,10043693.0000,4.123915,0.542600
2026-04-22,1.3000,1.3370,1.3000,1.3360,17419500,22984859.0000,9.181679,3.006900
2026-04-23,1.3360,1.3400,1.2860,1.2980,16821000,22019991.0000,9.155771,-2.844300
2026-04-24,1.2980,1.3050,1.2790,1.2940,7916700,10214616.0000,4.309107,-0.308200
2026-04-27,1.3030,1.3220,1.2880,1.3160,12042900,15818897.0000,6.555022,1.700200
2026-04-28,1.3070,1.3160,1.2900,1.2960,12897400,16814557.0000,7.257138,-1.519800
2026-04-29,1.2840,1.3090,1.2760,1.3030,12628300,16399095.0000,7.105720,0.540100
2026-04-30,1.3150,1.3310,1.3060,1.3270,14917300,19669618.0000,8.537822,1.841900
