date,open,high,low,close,volume,amount,turn,pctChg
2026-01-05,1.1630,1.1790,1.1600,1.1780,5807700,6794537.0000,1.778208,1.727100
2026-01-06,1.1790,1.2280,1.1790,1.2250,14078600,17061184.0000,4.323841,3.989800
2026-01-07,1.2270,1.2270,1.2010,1.2090,10569700,12827352.0000,3.327949,-1.306100
2026-01-08,1.2090,1.2110,1.1730,1.1770,11778700,13929921.0000,3.732114,-2.646800
2026-01-09,1.1810,1.1870,1.1730,1.1810,8155700,9617425.0000,2.559823,0.339800
2026-01-12,1.1810,1.2000,1.1750,1.1950,6954800,8272231.0000,2.182898,1.185400
2026-01-13,1.2050,1.2150,1.1890,1.1940,5254900,6305306.0000,1.644191,-0.083700
2026-01-14,1.1930,1.2160,1.1770,1.1840,11255800,13513082.0000,3.521796,-0.837500
2026-01-15,1.1880,1.1880,1.1600,1.1650,7302400,8530421.0000,2.291999,-1.604700
2026-01-16,1.1650,1.1730,1.1520,1.1540,5787500,6702963.0000,1.805186,-0.944200
2026-01-19,1.1540,1.1550,1.1450,1.1500,8858300,10174250.0000,2.763004,-0.346600
2026-01-20,1.1510,1.1560,1.1490,1.1550,5169100,5956293.0000,1.607287,0.434800
2026-01-21,1.1560,1.1560,1.1440,1.1450,4402700,5061403.0000,1.364738,-0.865800
2026-01-22,1.1440,1.1560,1.1440,1.1480,3697700,4251170.0000,1.146204,0.262000
2026-01-23,1.1500,1.1540,1.1440,1.1470,7383300,8479657.0000,2.288657,-0.087100
2026-01-26,1.1510,1.1680,1.1440,1.1540,6000200,6934463.0000,1.859927,0.610300
2026-01-27,1.1560,1.1560,1.1360,1.1450,2605500,2978453.0000,0.807647,-0.779900
2026-01-28,1.1440,1.1520,1.1420,1.1440,4860900,5578385.0000,1.506770,-0.087300
2026-01-29,1.1380,1.1590,1.1300,1.1570,6676200,7603072.0000,2.063077,1.136400
2026-01-30,1.1550,1.1550,1.1360,1.1400,5676600,6483981.0000,1.748777,-1.469300
2026-02-02,1.1400,1.1530,1.1230,1.1250,5695500,6470042.0000,1.754599,-1.315800
2026-02-03,1.1290,1.1310,1.1120,1.1230,3820300,4276375.0000,1.176911,-0.177800
2026-02-04,1.1230,1.1400,1.1170,1.1380,9186600,10382319.0000,2.830095,1.335700
2026-02-05,1.1350,1.1460,1.1300,1.1410,5931300,6728307.0000,1.827242,0.263600
2026-02-06,1.1430,1.1430,1.1310,1.1330,1753600,1992415.0000,0.540227,-0.701100
2026-02-09,1.1390,1.1450,1.1370,1.1440,3533800,4034936.0000,1.088650,0.970900
2026-02-10,1.1420,1.1460,1.1420,1.1430,6364800,7283171.0000,1.960789,-0.087400
2026-02-11,1.1420,1.1450,1.1380,1.1410,5283600,6033259.0000,1.617739,-0.175000
2026-02-12,1.1370,1.1370,1.1310,1.1330,5722400,6487310.0000,1.746743,-0.701100
2026-02-13,1.1340,1.1380,1.1220,1.1220,11107400,12526763.0000,3.359729,-0.970900
2026-02-24,1.1250,1.1250,1.1190,1.1210,2194100,2460601.0000,0.655730,-0.089100
2026-02-25,1.1210,1.1360,1.1210,1.1260,5941300,6696402.0000,1.770331,0.446000
2026-02-26,1.1260,1.1280,1.1120,1.1150,7133700,7949658.0000,2.119315,-0.976900
2026-02-27,1.1110,1.1190,1.1110,1.1170,3192700,3561247.0000,0.940124,0.179400
2026-03-02,1.1150,1.1150,1.0930,1.1020,6631700,7291292.0000,1.952774,-1.342900
2026-03-03,1.1040,1.1140,1.0920,1.0940,11168000,12304468.0000,3.288536,-0.726000
2026-03-04,1.0950,1.0950,1.0630,1.0700,4694900,5036355.0000,1.378404,-2.193800
2026-03-05,1.0850,1.0850,1.0670,1.0700,4088400,4370731.0000,1.196824,0.000000
2026-03-06,1.0690,1.0850,1.0690,1.0820,6321500,6826777.0000,1.845133,1.121500
2026-03-09,1.0740,1.0740,1.0580,1.0640,2018500,2143675.0000,0.589164,-1.663600
2026-03-10,1.0650,1.0760,1.0650,1.0720,2408400,2577591.0000,0.702969,0.751900
2026-03-11,1.0720,1.0770,1.0680,1.0750,4057000,4351911.0000,1.184166,0.279900
2026-03-12,1.0750,1.0760,1.0680,1.0740,3100900,3321929.0000,0.905097,-0.093000
2026-03-13,1.0740,1.0740,1.0620,1.0640,7530400,8040938.0000,2.197990,-0.931100
2026-03-16,1.0660,1.0660,1.0530,1.0570,6408500,6768996.0000,1.854290,-0.657900
2026-03-17,1.0600,1.0900,1.0600,1.0680,11818400,12722963.0000,3.399961,1.040700
2026-03-18,1.0650,1.0680,1.0590,1.0670,6723800,7136220.0000,1.934328,-0.093600
2026-03-19,1.0670,1.0670,1.0500,1.0520,8672600,9153448.0000,2.494966,-1.405800
2026-03-20,1.0570,1.0570,1.0340,1.0350,5789300,6045214.0000,1.655959,-1.616000
2026-03-23,1.0350,1.0350,0.9870,0.9940,9979900,10032689.0000,2.838392,-3.961400
2026-03-24,1.0010,1.0090,0.9900,1.0020,4645100,4648478.0000,1.309940,0.804800
2026-03-25,1.0100,1.0190,1.0000,1.0140,5016100,5070081.0000,1.414564,1.197600
2026-03-26,1.0260,1.0260,0.9880,0.9910,3955600,3944238.0000,1.115498,-2.268200
2026-03-27,0.9820,1.0150,0.9820,0.9970,2348900,2337028.0000,0.662401,0.605400
2026-03-30,0.9920,0.9940,0.9820,0.9920,7312400,7240057.0000,2.062131,-0.501500
2026-03-31,0.9960,1.0030,0.9840,0.9850,6941700,6899798.0000,1.957592,-0.705600
2026-04-01,0.9980,1.0000,0.9910,0.9980,7076600,7060969.0000,1.995635,1.319800
2026-04-02,0.9930,0.9980,0.9780,0.9820,9411200,9319157.0000,2.654003,-1.603200
2026-04-03,0.9830,0.9860,0.9730,0.9730,6098900,5979604.0000,1.710272,-0.916500
2026-04-07,0.9740,0.9760,0.9670,0.9710,4992600,4850896.0000,1.400040,-0.205500
2026-04-08,0.9870,1.0090,0.9870,1.0090,8791700,8764067.0000,2.458502,3.913500
2026-04-09,1.0010,1.0010,0.9850,0.9870,3873900,3834263.0000,1.083293,-2.180400
