date,open,high,low,close,volume,amount,turn,pctChg
2017-05-22,8.5170187800,10.2196773900,8.5170187800,10.2196773900,6892,188591.0000,0.032741,43.989510
2017-05-23,11.2405274100,11.2405274100,11.2405274100,11.2405274100,4200,126714.0000,0.019952,9.989062
2017-05-24,12.3656978700,12.3656978700,12.3656978700,12.3656978700,6000,199140.0000,0.028504,10.009940
2017-05-25,13.6026402300,13.6026402300,13.6026402300,13.6026402300,11800,430818.0000,0.056057,10.003010
2017-05-26,14.9625316800,14.9625316800,14.9625316800,14.9625316800,48064,1930250.0000,0.228333,9.997266
2017-05-31,16.4602751400,16.4602751400,16.4602751400,16.4602751400,57624,2545828.0000,0.273748,10.009960
2017-06-01,18.1070478000,18.1070478000,18.1070478000,18.1070478000,300419,14600363.0000,1.427169,10.004520
2017-06-02,18.4051062000,19.9177525800,17.9766472500,19.9177525800,13615568,706209376.0000,64.682033,10.000000
2017-06-05,21.3856902000,21.9110181300,20.1189420000,20.2009080600,9855938,560929056.0000,46.821558,1.421628
2017-06-06,19.4147790300,20.3350343400,19.0608346800,19.7500947300,11410669,600427504.0000,54.207454,-2.231654
2017-06-07,19.3812474600,21.2366610000,19.1055434400,20.4654348900,12662673,683655568.0000,60.155216,3.621962
2017-06-08,19.8767695500,19.9289297700,18.6770844900,18.8074850400,10328218,533661936.0000,49.065169,-8.101221
2017-06-09,18.4870722600,19.0645604100,18.4386377700,18.6286500000,5309889,265919654.0000,25.225126,-0.950871
2017-06-12,17.9244870300,18.0772419600,16.9930545300,17.0861977800,6528379,307723072.0000,31.013677,-8.279999
2017-06-13,16.8924598200,17.7232976100,16.8850083600,17.3954333700,3665091,170639518.0000,17.411359,1.809852
2017-06-14,17.3022901200,17.3134673100,16.5496926600,16.9110884700,3573276,161942242.0000,16.975183,-2.784321
2017-06-15,16.8030423000,18.5019751800,16.8030423000,17.4662222400,6011462,284381456.0000,28.558014,3.282665
2017-06-16,17.5109310000,17.9952759000,17.3544503400,17.6152514400,4071288,192277636.0000,19.341036,0.853237
2017-06-19,17.5146567300,17.5854456000,17.1793410300,17.3246445000,2540146,118258493.0000,12.067202,-1.649744
2017-06-20,17.4364164000,17.8089894000,17.2724842800,17.3358216900,2796160,131540090.0000,13.283420,0.064514
2017-06-21,17.2128726000,17.5854456000,17.0452147500,17.2985643900,2047489,94846965.0000,9.726789,-0.214912
2017-06-22,17.2352269800,17.2352269800,16.5869499600,16.6167558000,2841104,129005854.0000,13.496931,-3.941421
2017-06-23,16.5161610900,16.6987218600,15.8753355300,16.1696682000,2661203,116037597.0000,12.642295,-2.690576
2017-06-26,16.0951536000,16.5161610900,16.0429933800,16.4453722200,1583311,69547064.0000,7.521667,1.705064
2017-06-27,16.4602751400,16.7657850000,16.3186974000,16.4006634600,1359985,60239622.0000,6.460736,-0.271860
2017-06-28,16.3485032400,16.3485032400,15.9349472100,16.0280904600,1318944,56899047.0000,6.265767,-2.271695
2017-06-29,16.0504448400,16.3708576200,16.0318161900,16.1324109000,1214592,52739620.0000,5.770033,0.650857
2017-06-30,15.9759302400,16.6093043400,15.9088671000,16.6018528800,2151631,94464298.0000,10.221525,2.909936
2017-07-03,16.6018528800,17.0563919400,16.4155663800,16.9073627400,1800428,81108696.0000,8.553102,1.840215
2017-07-04,16.8179452200,16.8552025200,16.5981271500,16.7546078100,1128787,50647714.0000,5.362409,-0.903481
2017-07-05,16.7248019700,17.5779941400,16.7248019700,17.4885766200,3230620,150054963.0000,15.347363,4.380692
2017-07-06,17.3656275300,17.5705426800,17.2352269800,17.5221081900,2301117,107691486.0000,10.931672,0.191735
2017-07-07,17.5034795400,17.8835040000,17.4401421300,17.7195718800,2695238,127922184.0000,12.803981,1.126946
2017-07-10,17.4326906700,17.4326906700,16.7210762400,16.9036370100,2303739,105128426.0000,10.944128,-4.604715
2017-07-11,16.8104937600,16.9818773400,16.3820348100,16.4975324400,1292904,57938217.0000,6.142062,-2.402469
2017-07-12,16.4975324400,16.6763674800,16.1435880900,16.6614645600,846732,37311555.0000,4.022480,0.993682
